filename,ground_truth,pred_with_clahe,conf_with_clahe,correct_with_clahe,pred_without_clahe,conf_without_clahe,correct_without_clahe
fer0028638.png,Neutral,Neutral,0.789712,1,Neutral,0.847947,1
fer0028639.png,Contempt,Neutral,0.513522,0,Neutral,0.781094,0
fer0028640.png,Neutral,Neutral,0.701476,1,Neutral,0.749596,1
fer0028641.png,Neutral,Neutral,0.950892,1,Neutral,0.829066,1
fer0028642.png,Happiness,Happiness,0.996030,1,Happiness,0.976181,1
fer0028643.png,Happiness,Happiness,0.784331,1,Neutral,0.577594,0
fer0028644.png,Sadness,Sadness,0.762387,1,Neutral,0.699289,0
fer0028645.png,Neutral,Neutral,0.806193,1,Neutral,0.793389,1
fer0028646.png,Neutral,Neutral,0.827126,1,Neutral,0.924015,1
fer0028647.png,Neutral,Neutral,0.669095,1,Neutral,0.939467,1
fer0028648.png,Happiness,Happiness,0.726658,1,Happiness,0.543361,1
fer0028649.png,Anger,Anger,0.972007,1,Anger,0.915417,1
fer0028650.png,Neutral,Neutral,0.681574,1,Neutral,0.978896,1
fer0028651.png,Fear,Fear,0.973525,1,Fear,0.518665,1
fer0028652.png,Neutral,Neutral,0.981830,1,Neutral,0.903842,1
fer0028653.png,Surprise,Surprise,0.881475,1,Surprise,0.486619,1
fer0028654.png,Surprise,Surprise,0.977679,1,Surprise,0.927917,1
fer0028655.png,Neutral,Surprise,0.423453,0,Neutral,0.740119,1
fer0028656.png,Surprise,Surprise,0.983229,1,Surprise,0.683681,1
fer0028657.png,Happiness,Happiness,0.670648,1,Neutral,0.883201,0
fer0028658.png,Surprise,Neutral,0.628472,0,Neutral,0.873307,0
fer0028659.png,Surprise,Surprise,0.972046,1,Fear,0.690212,0
fer0028660.png,Neutral,Neutral,0.798428,1,Neutral,0.987691,1
fer0028661.png,Sadness,Sadness,0.820281,1,Sadness,0.709738,1
fer0028662.png,Sadness,Anger,0.337015,0,Neutral,0.803429,0
fer0028663.png,Neutral,Neutral,0.976037,1,Neutral,0.819879,1
fer0028664.png,Neutral,Sadness,0.679099,0,Neutral,0.586405,1
fer0028665.png,Neutral,Neutral,0.712411,1,Anger,0.422148,0
fer0028666.png,Surprise,Surprise,0.706887,1,Fear,0.550540,0
fer0028667.png,Surprise,Surprise,0.792885,1,Fear,0.753809,0
fer0028668.png,Happiness,Happiness,0.950680,1,Happiness,0.917815,1
fer0028669.png,Neutral,Neutral,0.744711,1,Neutral,0.871573,1
fer0028670.png,Happiness,Happiness,0.738846,1,Happiness,0.961649,1
fer0028671.png,Neutral,Neutral,0.975880,1,Neutral,0.926283,1
fer0028672.png,Neutral,Neutral,0.792768,1,Neutral,0.977704,1
fer0028673.png,Sadness,Neutral,0.748718,0,Neutral,0.835969,0
fer0028674.png,Neutral,Neutral,0.979444,1,Neutral,0.979020,1
fer0028675.png,Contempt,Fear,0.805429,0,Fear,0.549583,0
fer0028676.png,Neutral,Neutral,0.990522,1,Neutral,0.836643,1
fer0028677.png,Happiness,Happiness,0.599764,1,Neutral,0.840511,0
fer0028678.png,Anger,Anger,0.998770,1,Anger,0.995850,1
fer0028679.png,Sadness,Sadness,0.866475,1,Sadness,0.595676,1
fer0028680.png,Anger,Neutral,0.537940,0,Neutral,0.838507,0
fer0028681.png,Neutral,Neutral,0.873822,1,Neutral,0.759963,1
fer0028682.png,Neutral,Sadness,0.748858,0,Neutral,0.531460,1
fer0028683.png,Happiness,Happiness,0.995363,1,Happiness,0.993796,1
fer0028684.png,Surprise,Surprise,0.844268,1,Neutral,0.725501,0
fer0028685.png,Happiness,Happiness,0.961218,1,Neutral,0.901172,0
fer0028686.png,Surprise,Surprise,0.975863,1,Surprise,0.996770,1
fer0028687.png,Neutral,Neutral,0.955584,1,Neutral,0.923716,1
fer0028688.png,Neutral,Neutral,0.931616,1,Neutral,0.972591,1
fer0028689.png,Happiness,Happiness,0.942801,1,Neutral,0.630307,0
fer0028690.png,Surprise,Surprise,0.969607,1,Surprise,0.689685,1
fer0028691.png,Neutral,Sadness,0.683941,0,Sadness,0.658303,0
fer0028692.png,Neutral,Sadness,0.823984,0,Neutral,0.527746,1
fer0028693.png,Happiness,Happiness,0.990364,1,Happiness,0.921116,1
fer0028694.png,Fear,Fear,0.946965,1,Fear,0.785072,1
fer0028695.png,Neutral,Neutral,0.663355,1,Neutral,0.925077,1
fer0028696.png,Surprise,Surprise,0.991210,1,Surprise,0.907793,1
fer0028697.png,Happiness,Happiness,0.915551,1,Happiness,0.733162,1
fer0028698.png,Neutral,Neutral,0.943562,1,Neutral,0.934394,1
fer0028699.png,Happiness,Happiness,0.789090,1,Happiness,0.584564,1
fer0028700.png,Neutral,Neutral,0.791374,1,Neutral,0.948001,1
fer0028701.png,Surprise,Surprise,0.918631,1,Surprise,0.976584,1
fer0028702.png,Surprise,Surprise,0.988681,1,Surprise,0.990590,1
fer0028703.png,Happiness,Happiness,0.989442,1,Happiness,0.971860,1
fer0028704.png,Surprise,Surprise,0.732382,1,Surprise,0.817585,1
fer0028705.png,Neutral,Neutral,0.882164,1,Neutral,0.890513,1
fer0028706.png,Fear,Sadness,0.805606,0,Surprise,0.555526,0
fer0028707.png,Neutral,Neutral,0.358340,1,Neutral,0.787345,1
fer0028708.png,Neutral,Neutral,0.780806,1,Neutral,0.530100,1
fer0028709.png,Surprise,Surprise,0.948604,1,Fear,0.426669,0
fer0028710.png,Neutral,Neutral,0.857292,1,Neutral,0.899827,1
fer0028711.png,Happiness,Happiness,0.953164,1,Neutral,0.864512,0
fer0028712.png,Surprise,Happiness,0.944768,0,Neutral,0.544667,0
fer0028713.png,Neutral,Neutral,0.931439,1,Neutral,0.867311,1
fer0028714.png,Surprise,Surprise,0.980210,1,Surprise,0.648510,1
fer0028715.png,Neutral,Neutral,0.953620,1,Neutral,0.910677,1
fer0028716.png,Sadness,Sadness,0.992950,1,Sadness,0.494003,1
fer0028717.png,Sadness,Sadness,0.852043,1,Happiness,0.635849,0
fer0028718.png,Neutral,Anger,0.627586,0,Anger,0.496023,0
fer0028719.png,Anger,Anger,0.980301,1,Anger,0.632144,1
fer0028720.png,Neutral,Anger,0.735474,0,Neutral,0.870748,1
fer0028721.png,Happiness,Happiness,0.825567,1,Neutral,0.869084,0
fer0028722.png,Surprise,Surprise,0.861477,1,Surprise,0.983821,1
fer0028723.png,Neutral,Neutral,0.908912,1,Neutral,0.921038,1
fer0028724.png,Happiness,Happiness,0.998455,1,Happiness,0.991679,1
fer0028725.png,Happiness,Happiness,0.981644,1,Happiness,0.987924,1
fer0028726.png,Happiness,Happiness,0.682831,1,Surprise,0.505757,0
fer0028727.png,Happiness,Happiness,0.997253,1,Happiness,0.995071,1
fer0028728.png,Neutral,Neutral,0.557358,1,Sadness,0.606526,0
fer0028729.png,Anger,Anger,0.903055,1,Surprise,0.610906,0
fer0028730.png,Happiness,Happiness,0.946478,1,Neutral,0.695713,0
fer0028731.png,Neutral,Neutral,0.933005,1,Neutral,0.814185,1
fer0028732.png,Anger,Surprise,0.503708,0,Anger,0.981144,1
fer0028733.png,Anger,Anger,0.534059,1,Anger,0.666085,1
fer0028734.png,Happiness,Surprise,0.725950,0,Happiness,0.625737,1
fer0028735.png,Happiness,Happiness,0.993537,1,Happiness,0.950056,1
fer0028736.png,Happiness,Happiness,0.995895,1,Happiness,0.864620,1
fer0028737.png,Anger,Anger,0.982613,1,Anger,0.936873,1
fer0028738.png,Happiness,Happiness,0.993063,1,Happiness,0.961436,1
fer0028739.png,Neutral,Neutral,0.992335,1,Neutral,0.973954,1
